XL2 Sound Level Meter RTA Reporting:		HSK Huenxe\2022-09-24_SLM_001_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-11790-E0, FW4.10
	Mic Type:       	NTi Audio M2230, SNo. 6023, Factory adjusted 
	Mic Sensitivity:	41,1 mV/Pa
	Time Zone:      	UTC+02:00 (Europe/Berlin, DST)

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	20 - 120 dB

# Time
	Start:          	2022-09-24, 15:10:34
	End:            	2022-09-24, 15:11:04

# RTA Results 
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LZFmax   	75,8    	67,8    	70,1    	65,5    	59,0    	62,8    	60,5    	50,7    	45,5    	44,2    	41,1    	37,1    	39,0    	43,2    	50,2    	56,0    	63,4    	64,4    	62,7    	63,8    	63,2    	63,5    	64,9    	68,7    	69,3    	71,1    	69,9    	68,8    	65,9    	68,2    	68,2    	67,2    	67,3    	59,5    	52,5    	38,9    
	LZFmin   	16,3    	27,0    	37,3    	24,1    	28,5    	31,0    	36,0    	29,7    	23,5    	27,9    	21,9    	22,4    	25,2    	21,6    	23,6    	24,1    	21,8    	28,6    	25,9    	23,2    	21,8    	18,0    	17,1    	15,7    	19,9    	21,1    	18,8    	16,7    	14,1    	16,9    	16,0    	15,5    	16,5    	14,1    	13,8    	14,4    
	LZeq     	60,8    	54,9    	59,5    	51,3    	46,8    	47,2    	50,1    	42,2    	35,0    	36,7    	30,6    	30,1    	32,8    	36,2    	41,3    	48,3    	53,7    	56,6    	55,1    	56,1    	55,9    	56,7    	58,5    	61,3    	63,0    	64,9    	63,8    	63,0    	60,1    	62,2    	62,5    	61,7    	61,7    	53,9    	46,9    	33,2    
	L_Capt   	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     	-,-     
	LZE      	75,6    	69,8    	74,4    	66,2    	61,7    	62,1    	65,0    	57,0    	49,9    	51,6    	45,5    	44,9    	47,6    	51,0    	56,1    	63,1    	68,6    	71,5    	70,0    	70,9    	70,7    	71,6    	73,4    	76,2    	77,9    	79,7    	78,7    	77,9    	75,0    	77,1    	77,4    	76,6    	76,6    	68,8    	61,8    	48,0    
	LZF1,0%  	74,1    	66,1    	68,1    	62,1    	56,1    	59,1    	58,1    	49,1    	42,1    	42,1    	38,1    	36,1    	37,1    	42,1    	48,1    	55,1    	61,1    	63,1    	61,1    	62,1    	62,1    	62,1    	64,1    	67,1    	68,1    	70,1    	69,1    	68,1    	65,1    	67,1    	67,1    	67,1    	66,1    	59,1    	52,1    	38,1    
	LZF5,0%  	68,1    	62,1    	65,1    	57,1    	53,1    	51,1    	56,1    	47,1    	40,1    	41,1    	34,1    	33,1    	36,1    	41,1    	47,1    	54,1    	59,1    	62,1    	60,1    	61,1    	61,1    	62,1    	64,1    	66,1    	68,1    	70,1    	69,1    	68,1    	65,1    	67,1    	67,1    	66,1    	66,1    	58,1    	51,1    	38,1    
	LZF10,0% 	61,1    	57,1    	63,1    	54,1    	50,1    	49,1    	53,1    	45,1    	38,1    	39,1    	33,1    	32,1    	35,1    	40,1    	46,1    	53,1    	58,1    	61,1    	60,1    	61,1    	60,1    	61,1    	63,1    	66,1    	67,1    	69,1    	68,1    	67,1    	64,1    	67,1    	67,1    	66,1    	66,1    	58,1    	51,1    	37,1    
	LZF50,0% 	41,1    	48,1    	55,1    	39,1    	41,1    	42,1    	46,1    	39,1    	32,1    	35,1    	28,1    	28,1    	32,1    	32,1    	33,1    	32,1    	29,1    	34,1    	31,1    	29,1    	30,1    	30,1    	28,1    	28,1    	29,1    	29,1    	28,1    	26,1    	24,1    	23,1    	21,1    	20,1    	20,1    	16,1    	15,1    	15,1    
	LZF90,0% 	27,1    	36,1    	46,1    	30,1    	33,1    	36,1    	41,1    	34,1    	28,1    	31,1    	25,1    	26,1    	28,1    	26,1    	28,1    	27,1    	25,1    	31,1    	27,1    	24,1    	24,1    	19,1    	18,1    	17,1    	20,1    	21,1    	19,1    	17,1    	14,1    	17,1    	16,1    	15,1    	16,1    	14,1    	14,1    	14,1    
	LZF95,0% 	24,1    	34,1    	43,1    	28,1    	31,1    	34,1    	40,1    	33,1    	27,1    	30,1    	24,1    	25,1    	27,1    	24,1    	27,1    	26,1    	24,1    	30,1    	27,1    	24,1    	23,1    	19,1    	18,1    	17,1    	20,1    	21,1    	19,1    	17,1    	14,1    	17,1    	16,1    	15,1    	16,1    	14,1    	14,1    	14,1    
